# TEST CONFIGURATION BEGIN
# FileStream(filename='export_dataframe_0v4.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=1000000, max_time=1000, metrics=['accuracy', 'running_time', 'model_size'], n_wait=200, output_file='summary_ht.txt', pretrain_size=10000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
51790,0.839067,0.860000,20.291460,1.873462,22.164922,1898.796875
51990,0.839190,0.865000,20.370573,1.885321,22.255894,1898.984375
52190,0.839171,0.835000,20.437242,1.896915,22.334157,1899.109375
52390,0.839127,0.830000,20.505608,1.909444,22.415051,1899.203125
52590,0.838826,0.775000,20.603869,1.920388,22.524256,1900.476562
52790,0.838808,0.835000,20.675648,1.932277,22.607925,1900.539062
52990,0.838837,0.845000,20.748083,1.943028,22.691112,1900.726562
53190,0.838773,0.825000,20.827372,1.954504,22.781876,1900.851562
53390,0.838779,0.840000,20.898058,1.966753,22.864811,1900.914062
53590,0.838830,0.850000,20.961385,1.976759,22.938144,1900.945312
53790,0.838973,0.870000,21.042391,1.989762,23.032153,1901.039062
53990,0.838909,0.825000,21.110166,2.001280,23.111446,1901.132812
54190,0.838824,0.820000,21.211054,2.014488,23.225542,1911.351562
54390,0.838581,0.785000,21.301265,2.027059,23.328323,1911.414062
54590,0.838498,0.820000,21.365350,2.038453,23.403803,1963.421875
54790,0.838638,0.870000,21.444255,2.048921,23.493176,1963.515625
54990,0.838800,0.875000,21.516723,2.060505,23.577228,1963.515625
55190,0.838894,0.860000,21.593141,2.073175,23.666316,1963.515625
55390,0.838921,0.845000,21.663962,2.083894,23.747856,1963.515625
55590,0.839035,0.865000,21.734624,2.096687,23.831311,1963.546875
55790,0.839061,0.845000,21.833459,2.107377,23.940837,1963.546875
55990,0.838913,0.805000,21.896858,2.117895,24.014753,1963.546875
56190,0.838961,0.850000,21.960343,2.127913,24.088256,1963.578125
56390,0.838987,0.845000,22.043365,2.138862,24.182227,1968.046875
56590,0.838884,0.815000,22.114769,2.150187,24.264955,1968.140625
56790,0.838697,0.795000,22.179053,2.163909,24.342962,1978.328125
56990,0.838915,0.890000,22.260172,2.176564,24.436736,1978.359375
57190,0.838792,0.810000,22.331189,2.188088,24.519277,1978.421875
57390,0.838819,0.845000,22.418662,2.199493,24.618155,1978.453125
57590,0.838992,0.880000,22.489511,2.210651,24.700162,1978.484375
57790,0.838787,0.790000,22.568902,2.224108,24.793010,1979.695312
57990,0.838625,0.800000,22.644028,2.236083,24.880110,2046.390625
58190,0.838589,0.830000,22.714870,2.247206,24.962076,2046.484375
58390,0.838822,0.895000,22.792749,2.259676,25.052425,2032.757812
58590,0.838519,0.765000,22.855397,2.273035,25.128432,2104.421875
58790,0.838504,0.835000,22.942660,2.285213,25.227873,2091.164062
58990,0.838551,0.850000,23.009050,2.299981,25.309031,2157.984375
59190,0.838415,0.805000,23.093393,2.312264,25.405657,2162.515625
59390,0.838462,0.850000,23.166815,2.325252,25.492067,2167.109375
59590,0.838246,0.785000,23.230392,2.338620,25.569012,2167.171875
59790,0.838273,0.845000,23.308371,2.351432,25.659803,2167.234375
59990,0.838160,0.810000,23.393639,2.363689,25.757328,2167.515625
60190,0.838127,0.830000,23.463111,2.377395,25.840506,2167.546875
60390,0.838194,0.855000,23.525624,2.388430,25.914054,2181.984375
60590,0.838103,0.815000,23.601357,2.400101,26.001458,2181.984375
60790,0.838110,0.840000,23.680395,2.411721,26.092116,2182.015625
60990,0.838059,0.825000,23.746708,2.423431,26.170138,2182.171875
61190,0.837910,0.800000,23.815295,2.434738,26.250033,2186.609375
61390,0.837840,0.820000,23.894428,2.447941,26.342369,2186.671875
61590,0.837674,0.795000,23.983311,2.459706,26.443017,2186.796875
61790,0.837683,0.840000,24.061271,2.472258,26.533529,2186.921875
61990,0.837654,0.830000,24.154548,2.485919,26.640467,2197.078125
62190,0.837605,0.825000,24.225081,2.498467,26.723548,2197.171875
62390,0.837500,0.810000,24.295182,2.511552,26.806735,2197.265625
62590,0.837471,0.830000,24.372361,2.523222,26.895584,2207.359375
62790,0.837500,0.845000,24.447943,2.536049,26.983992,2208.382812
62990,0.837453,0.825000,24.510415,2.548554,27.058970,2260.515625
63190,0.837293,0.795000,24.574249,2.561198,27.135447,2260.671875
63390,0.837285,0.835000,24.645278,2.572650,27.217928,2260.828125
63590,0.837388,0.865000,24.719677,2.584076,27.303753,2271.078125
63790,0.837212,0.790000,24.799302,2.596553,27.395855,2271.203125
63990,0.837185,0.830000,24.865325,2.608144,27.473469,2271.265625
64190,0.837269,0.860000,24.957053,2.620351,27.577404,2275.640625
64390,0.837206,0.820000,25.028191,2.630545,27.658736,2275.640625
64590,0.837143,0.820000,25.108214,2.642275,27.750489,2284.609375
64790,0.837281,0.875000,25.185217,2.653654,27.838871,2284.671875
64990,0.837309,0.845000,25.263919,2.665637,27.929556,2284.671875
65190,0.837319,0.840000,25.340176,2.679537,28.019713,2285.851562
65390,0.837383,0.855000,25.405836,2.690324,28.096160,2290.320312
65590,0.837446,0.855000,25.486179,2.700574,28.186754,2290.351562
65790,0.837455,0.840000,25.556887,2.713460,28.270348,2290.507812
65990,0.837500,0.850000,25.641923,2.726273,28.368197,2358.382812
66190,0.837651,0.880000,25.724089,2.738580,28.462669,2362.914062
66390,0.837713,0.855000,25.817419,2.749919,28.567337,2391.843750
66590,0.837968,0.910000,25.878180,2.762766,28.640946,2392.187500
66790,0.838011,0.850000,25.946280,2.774415,28.720695,2459.039062
66990,0.837947,0.820000,26.021971,2.786301,28.808271,2469.289062
67190,0.837605,0.740000,26.086389,2.798905,28.885294,2473.882812
67390,0.837509,0.810000,26.148810,2.810535,28.959346,2474.039062
67590,0.837431,0.815000,26.225887,2.823626,29.049513,2474.257812
67790,0.837474,0.850000,26.287566,2.834878,29.122444,2526.265625
67990,0.837466,0.835000,26.349288,2.846768,29.196057,2526.359375
68190,0.837509,0.850000,26.422649,2.859419,29.282068,2526.359375
68390,0.837397,0.805000,26.508515,2.871382,29.379897,2526.453125
68590,0.837560,0.885000,26.570420,2.882714,29.453134,2526.453125
68790,0.837636,0.860000,26.663194,2.895268,29.558462,2461.000000
68990,0.837746,0.870000,26.725314,2.907134,29.632449,2471.218750
69190,0.837635,0.805000,26.805813,2.921129,29.726941,2533.414062
69390,0.837593,0.825000,26.884494,2.935618,29.820112,2585.609375
69590,0.837584,0.835000,26.947519,2.947735,29.895254,2604.546875
69790,0.837642,0.855000,27.011332,2.962341,29.973673,2609.203125
69990,0.837650,0.840000,27.096549,2.974838,30.071387,2613.609375
70190,0.837674,0.845000,27.171080,2.993007,30.164087,2613.609375
70390,0.837748,0.860000,27.234428,3.007665,30.242093,2613.703125
70590,0.837492,0.760000,27.314355,3.021641,30.335996,2666.984375
70790,0.837467,0.830000,27.386606,3.035327,30.421933,2671.671875
70990,0.837607,0.880000,27.449293,3.047388,30.496682,2681.859375
71190,0.837680,0.860000,27.532172,3.063937,30.596108,2681.890625
71390,0.837736,0.855000,27.599949,3.079773,30.679722,2686.453125
71590,0.837711,0.830000,27.672983,3.092651,30.765634,2686.484375
71790,0.837654,0.820000,27.746465,3.108030,30.854495,2739.984375
71990,0.837581,0.815000,27.809533,3.122027,30.931560,2749.203125
72190,0.837637,0.855000,27.893831,3.138173,31.032004,2749.265625
72390,0.837660,0.845000,27.975875,3.152592,31.128466,2749.359375
72590,0.837732,0.860000,28.056712,3.166801,31.223513,2749.390625
72790,0.837707,0.830000,28.119888,3.179470,31.299358,2759.640625
72990,0.837667,0.825000,28.204352,3.193603,31.397954,2764.171875
73190,0.837753,0.865000,28.284285,3.207657,31.491942,2764.203125
73390,0.837808,0.855000,28.348275,3.223142,31.571417,2764.296875
73590,0.837893,0.865000,28.433055,3.237111,31.670166,2774.453125
73790,0.837947,0.855000,28.509673,3.250435,31.760109,2774.515625
